Timestamp,GSR Value (uS)
2025-05-23 11:14:23.089,-0.24
2025-05-23 11:14:23.268,-0.24
2025-05-23 11:14:23.388,-0.24
2025-05-23 11:14:23.568,-0.24
2025-05-23 11:14:23.690,-0.24
2025-05-23 11:14:23.868,-0.19
2025-05-23 11:14:24.049,-0.24
2025-05-23 11:14:24.169,-0.24
2025-05-23 11:14:24.348,-0.24
2025-05-23 11:14:24.469,-0.24
2025-05-23 11:14:24.648,-0.24
2025-05-23 11:14:24.768,-0.24
2025-05-23 11:14:24.948,-0.24
2025-05-23 11:14:25.129,-0.24
2025-05-23 11:14:25.249,-0.24
2025-05-23 11:14:25.428,-0.19
2025-05-23 11:14:25.549,-0.24
2025-05-23 11:14:25.728,-0.24
2025-05-23 11:14:25.848,-0.24
2025-05-23 11:14:26.029,-0.24
2025-05-23 11:14:26.149,-0.24
2025-05-23 11:14:26.328,-0.24
2025-05-23 11:14:26.509,-0.24
2025-05-23 11:14:26.629,-0.24
2025-05-23 11:14:26.808,-0.24
2025-05-23 11:14:26.928,-0.24
2025-05-23 11:14:27.109,-0.24
2025-05-23 11:14:27.228,-0.24
2025-05-23 11:14:27.408,-0.24
2025-05-23 11:14:27.528,-0.24
2025-05-23 11:14:27.708,-0.24
2025-05-23 11:14:27.888,-0.24
2025-05-23 11:14:28.008,-0.24
2025-05-23 11:14:28.188,-0.24
2025-05-23 11:14:28.308,-0.24
2025-05-23 11:14:28.489,-0.24
2025-05-23 11:14:28.609,-0.24
2025-05-23 11:14:28.789,-0.29
2025-05-23 11:14:28.968,-0.24
2025-05-23 11:14:29.090,-0.24
2025-05-23 11:14:29.269,-0.24
2025-05-23 11:14:29.388,-0.24
2025-05-23 11:14:29.570,-0.24
2025-05-23 11:14:29.690,-0.24
2025-05-23 11:14:29.868,-0.24
2025-05-23 11:14:29.989,-0.29
2025-05-23 11:14:30.168,-0.24
2025-05-23 11:14:30.348,-0.24
2025-05-23 11:14:30.468,-0.24
2025-05-23 11:14:30.649,-0.24
2025-05-23 11:14:30.770,-0.24
2025-05-23 11:14:30.948,-0.24
2025-05-23 11:14:31.069,-0.24
2025-05-23 11:14:31.248,-0.24
2025-05-23 11:14:31.428,-0.24
2025-05-23 11:14:31.548,-0.24
2025-05-23 11:14:31.729,-0.24
2025-05-23 11:14:31.850,-0.24
2025-05-23 11:14:32.028,-0.24
2025-05-23 11:14:32.150,-0.24
2025-05-23 11:14:32.329,-0.24
2025-05-23 11:14:32.448,-0.24
2025-05-23 11:14:32.628,-0.29
2025-05-23 11:14:32.808,-0.24
2025-05-23 11:14:32.928,-0.24
2025-05-23 11:14:33.108,-0.24
2025-05-23 11:14:33.228,-0.24
2025-05-23 11:14:33.408,-0.24
2025-05-23 11:14:33.528,-0.24
2025-05-23 11:14:33.710,-0.24
2025-05-23 11:14:33.828,-0.24
2025-05-23 11:14:34.009,-0.24
2025-05-23 11:14:34.130,-0.24
2025-05-23 11:14:34.310,-0.24
2025-05-23 11:14:34.488,-0.24
2025-05-23 11:14:34.609,-0.24
2025-05-23 11:14:34.789,-0.24
2025-05-23 11:14:34.909,-0.24
2025-05-23 11:14:35.089,-0.24
2025-05-23 11:14:35.209,-0.29
2025-05-23 11:14:35.389,-0.24
2025-05-23 11:14:35.508,-0.24
2025-05-23 11:14:35.689,-0.24
2025-05-23 11:14:35.870,-0.24
2025-05-23 11:14:35.988,-0.24
2025-05-23 11:14:36.169,-0.24
2025-05-23 11:14:36.289,-0.24
2025-05-23 11:14:36.468,-0.24
2025-05-23 11:14:36.589,-0.24
2025-05-23 11:14:36.768,-0.24
2025-05-23 11:14:36.889,-0.24
2025-05-23 11:14:37.068,-0.24
2025-05-23 11:14:37.249,-0.24
2025-05-23 11:14:37.369,-0.24
2025-05-23 11:14:37.548,-0.24
2025-05-23 11:14:37.669,-0.24
2025-05-23 11:14:37.849,-0.29
2025-05-23 11:14:37.968,-0.24
2025-05-23 11:14:38.149,-0.24
2025-05-23 11:14:38.329,-0.24
2025-05-23 11:14:38.449,-0.24
2025-05-23 11:14:38.628,-0.24
2025-05-23 11:14:38.749,-0.24
2025-05-23 11:14:38.929,-0.24
2025-05-23 11:14:39.048,-0.24
2025-05-23 11:14:39.229,-0.24
2025-05-23 11:14:39.349,-0.24
2025-05-23 11:14:39.528,-0.24
2025-05-23 11:14:39.649,-0.24
2025-05-23 11:14:39.830,-0.24
2025-05-23 11:14:40.009,-0.24
2025-05-23 11:14:40.128,-0.24
2025-05-23 11:14:40.309,-0.19
2025-05-23 11:14:40.429,-0.24
2025-05-23 11:14:40.608,-0.24
2025-05-23 11:14:40.729,-0.24
2025-05-23 11:14:40.909,-0.24
2025-05-23 11:14:41.088,-0.24
2025-05-23 11:14:41.208,-0.24
2025-05-23 11:14:41.390,-0.24
2025-05-23 11:14:41.509,-0.24
2025-05-23 11:14:41.688,-0.24
2025-05-23 11:14:41.808,-0.24
2025-05-23 11:14:41.988,-0.24
2025-05-23 11:14:42.108,-0.24
2025-05-23 11:14:42.289,-0.24
2025-05-23 11:14:42.469,-0.24
2025-05-23 11:14:42.589,-0.24
2025-05-23 11:14:42.768,-0.24
2025-05-23 11:14:42.889,-0.24
2025-05-23 11:14:43.070,-0.29
2025-05-23 11:14:43.188,-0.24
2025-05-23 11:14:43.368,-0.24
2025-05-23 11:14:43.549,-0.24
2025-05-23 11:14:43.668,-0.24
2025-05-23 11:14:43.849,-0.24
2025-05-23 11:14:43.969,-0.24
2025-05-23 11:14:44.148,-0.24
2025-05-23 11:14:44.268,-0.29
2025-05-23 11:14:44.449,-0.24
2025-05-23 11:14:44.569,-0.24
2025-05-23 11:14:44.749,-0.24
2025-05-23 11:14:44.930,-0.24
2025-05-23 11:14:45.049,-0.24
2025-05-23 11:14:45.228,-0.24
2025-05-23 11:14:45.348,-0.24
2025-05-23 11:14:45.529,-0.24
2025-05-23 11:14:45.649,-0.24
2025-05-23 11:14:45.830,-0.24
2025-05-23 11:14:46.008,-0.24
2025-05-23 11:14:46.129,-0.24
2025-05-23 11:14:46.308,-0.24
2025-05-23 11:14:46.429,-0.24
2025-05-23 11:14:46.609,-0.24
2025-05-23 11:14:46.728,-0.29
2025-05-23 11:14:46.909,-0.24
2025-05-23 11:14:47.090,-0.24
2025-05-23 11:14:47.209,-0.24
2025-05-23 11:14:47.388,-0.24
2025-05-23 11:14:47.508,-0.24
2025-05-23 11:14:47.689,-0.19
2025-05-23 11:14:47.808,-0.24
2025-05-23 11:14:47.989,-0.24
2025-05-23 11:14:48.109,-0.24
2025-05-23 11:14:48.288,-0.24
2025-05-23 11:14:48.470,-0.24
2025-05-23 11:14:48.590,-0.24
2025-05-23 11:14:48.768,-0.24
